Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
~Intial version based on Kona and e-Niro EV
~Source: GitHub 18 Aug 2019
~https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Hyundai%20Kona%20EV%20%26%20Kia%20Niro%20EV
~
~Zuinige Rijder
~20210907 V1 Adapted for IONIQ 5 72 kWh AWD
~Added Cell Voltage 092 till 184
~Added 000_Battery Module 05 Temperature and 000_Battery Module 06 Temperature
~Changed some calculations to use 72 kWh instead of 64 kWh and use the Torque for the IONIQ 5 AWD 72 kWh
~Added experimental Odometer
~Added experimental Tires information
~
~20210908 V2 Fixes and new features
~Fixed tire pressures
~Fixed Odometer
~Removed Battery Module 06 Temperature
~Shortened Short names of several formula's
~Fixed CALC Average Battery Module Temperature
~Fixed CALC Average Cell Voltage
~Added estimated charging time from current SOC to 80% for 2.3/3.7/7.4/11/50/100/150/175/350kWh chargers using evdatabase 10% to 80% estimations.
~
~20210910 V3 All known battery temperatures
~Added 16 battery pack temperatures
~Removed inlet temperature
~Removed heater 2 temperature
~Shortened names even more, do not put e.g. T in shortname when the symbol is C, Same for V and A.
~Fixed Indoor and Outdoor to properly show Celcius
000_Cell Voltage 067,C067,0x220104,g/50,2.70,4.30,V,7E4
000_Cell Voltage 068,C068,0x220104,h/50,2.70,4.30,V,7E4
000_Cell Voltage 069,C069,0x220104,i/50,2.70,4.30,V,7E4
000_Cell Voltage 070,C070,0x220104,j/50,2.70,4.30,V,7E4
000_Cell Voltage 071,C071,0x220104,k/50,2.70,4.30,V,7E4
000_Cell Voltage 072,C072,0x220104,l/50,2.70,4.30,V,7E4
000_Cell Voltage 073,C073,0x220104,m/50,2.70,4.30,V,7E4
000_Cell Voltage 074,C074,0x220104,n/50,2.70,4.30,V,7E4
000_Cell Voltage 075,C075,0x220104,o/50,2.70,4.30,V,7E4
000_Cell Voltage 076,C076,0x220104,p/50,2.70,4.30,V,7E4
000_Cell Voltage 077,C077,0x220104,q/50,2.70,4.30,V,7E4
000_Cell Voltage 078,C078,0x220104,r/50,2.70,4.30,V,7E4
000_Cell Voltage 079,C079,0x220104,s/50,2.70,4.30,V,7E4
000_Cell Voltage 080,C080,0x220104,t/50,2.70,4.30,V,7E4
000_Cell Voltage 081,C081,0x220104,u/50,2.70,4.30,V,7E4
000_Cell Voltage 082,C082,0x220104,v/50,2.70,4.30,V,7E4
000_Cell Voltage 083,C083,0x220104,w/50,2.70,4.30,V,7E4
000_Cell Voltage 084,C084,0x220104,x/50,2.70,4.30,V,7E4
000_Cell Voltage 085,C085,0x220104,y/50,2.70,4.30,V,7E4
000_Cell Voltage 086,C086,0x220104,z/50,2.70,4.30,V,7E4
000_Cell Voltage 087,C087,0x220104,aa/50,2.70,4.30,V,7E4
000_Cell Voltage 088,C088,0x220104,ab/50,2.70,4.30,V,7E4
000_Cell Voltage 089,C089,0x220104,ac/50,2.70,4.30,V,7E4
000_Cell Voltage 090,C090,0x220104,ad/50,2.70,4.30,V,7E4
000_Cell Voltage 091,C091,0x220104,ae/50,2.70,4.30,V,7E4
000_Cell Voltage 092,C092,0x220104,af/50,2.70,4.30,V,7E4
000_Cell Voltage 093,C093,0x220104,ag/50,2.70,4.30,V,7E4
000_Cell Voltage 094,C094,0x220104,ah/50,2.70,4.30,V,7E4
